model,compressor,refrigerant,ambient,btuh_35,btuh,cond_temp,voltage,required_addon1,required_addon2,required_addon3,required_addon4,notes
M6QM-H031-IAA-078,ASE20C4E,R407C,110,2990,3280,127,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0032-IAA-177,ASE24C5E,R448,90,3650,3980,119,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0032-IAA-177,ASE24C5E,R448,100,3330,3630,127,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0032-IAA-177,ASE24C5E,R448,110,3030,3310,136,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0032-IAA-177,ASE24C5E,R404,90,3820,4190,115,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0032-IAA-177,ASE24C5E,R404,100,3430,3760,123,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0032-IAA-177,ASE24C5E,R404,110,3000,3280,132,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0048-IAA-272,ASE39C5E,R448,90,,5840,131,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0048-IAA-272,ASE39C5E,R448,100,,5340,139,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0048-IAA-272,ASE39C5E,R448,110,,NO,NO,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0048-IAA-272,ASE39C5E,R404,90,,5910,127,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0048-IAA-272,ASE39C5E,R404,100,,5250,135,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZM-0048-IAA-272,ASE39C5E,R404,110,,NO,NO,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-CAV-078,ASE39C5E,R448,90,,5330,137,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-CAV-078,ASE39C5E,R448,100,,no,no,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-CAV-078,ASE39C5E,R448,110,,no,no,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-CAV-078,ASE39C5E,R404,90,,5270,136,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-CAV-078,ASE39C5E,R404,100,,no,,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-CAV-078,ASE39C5E,R404,110,,no,,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-IAA-272,ASE39C5E,R448,90,,5330,137,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-IAA-272,ASE39C5E,R448,100,,no,no,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-IAA-272,ASE39C5E,R448,110,,no,no,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-IAA-272,ASE39C5E,R404,90,,5270,136,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-IAA-272,ASE39C5E,R404,100,,no,,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6QM-H049-IAA-272,ASE39C5E,R404,110,,no,,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAA-177,RST45C1E,R448,90,,6030,132,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAA-177,RST45C1E,R448,100,,5420,140,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAA-177,RST45C1E,R448,110,,no,no,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAA-177,RST45C1E,R404,90,,6060,128,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAA-177,RST45C1E,R404,100,,5310,137,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAA-177,RST45C1E,R404,110,,no,no,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAA-177,RST45C1E,R407C,90,,5800,131,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAA-177,RST45C1E,R407C,100,,5280,139,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAA-177,RST45C1E,R407C,110,,no,no,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAV-177,RST45C1E,R448,90,,6030,132,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAV-177,RST45C1E,R448,100,,5420,140,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAV-177,RST45C1E,R448,110,,no,no,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAV-177,RST45C1E,R404,90,,6060,128,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAV-177,RST45C1E,R404,100,,5310,137,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAV-177,RST45C1E,R404,110,,no,no,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAV-177,RST45C1E,R407C,90,,5800,131,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAV-177,RST45C1E,R407C,100,,5280,139,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6ZP-0053-IAV-177,RST45C1E,R407C,110,,no,no,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GM-H057-IAA-272,ASE39C5E,R448,90,,6450,120,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GM-H057-IAA-272,ASE39C5E,R448,100,,5980,129,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GM-H057-IAA-272,ASE39C5E,R448,110,,5440,137,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
