model,style,refrigerant,btuh,btuh_10td,required_addon1,required_addon2,required_addon3,notes
VAH-25EC,DUCTED VERTICAL,R22,2117,1245,Temp Control,,,
VAH-25EC,DUCTED VERTICAL,R134,2023,1190,Temp Control,,,
VAH-25EC,DUCTED VERTICAL,R404,2101,1236,Temp Control,,,
VAH-25EC,DUCTED VERTICAL,R448,2172,1278,Temp Control,,,
VAH-31EC,DUCTED VERTICAL,R22,4793,2819,Temp Control,,,
VAH-31EC,DUCTED VERTICAL,R134,4471,2630,Temp Control,,,
VAH-31EC,DUCTED VERTICAL,R404,4698,2764,Temp Control,,,
VAH-31EC,DUCTED VERTICAL,R448,4497,2645,Temp Control,,,
VAH-47EC,DUCTED VERTICAL,R22,7635,4491,Temp Control,,,
VAH-47EC,DUCTED VERTICAL,R134,6915,4068,Temp Control,,,
VAH-47EC,DUCTED VERTICAL,R404,7493,4408,Temp Control,,,
VAH-47EC,DUCTED VERTICAL,R448,7616,4480,Temp Control,,,
VAH-66EC,DUCTED VERTICAL,R22,8666,5098,Temp Control,,,
VAH-66EC,DUCTED VERTICAL,R134,8080,4753,Temp Control,,,
VAH-66EC,DUCTED VERTICAL,R404,8510,5006,Temp Control,,,
VAH-66EC,DUCTED VERTICAL,R448,8642,5084,Temp Control,,,
VAH-87EC,DUCTED VERTICAL,R22,12310,7241,Temp Control,,,
VAH-87EC,DUCTED VERTICAL,R134,11840,6965,Temp Control,,,
VAH-87EC,DUCTED VERTICAL,R404,12070,7100,Temp Control,,,
VAH-87EC,DUCTED VERTICAL,R448,12288,7228,Temp Control,,,
VAH-120EC,DUCTED VERTICAL,R22,19820,11659,Temp Control,,,
VAH-120EC,DUCTED VERTICAL,R134,18624,10955,Temp Control,,,
VAH-120EC,DUCTED VERTICAL,R404,19487,11463,Temp Control,,,
VAH-120EC,DUCTED VERTICAL,R448,19760,11624,Temp Control,,,
VAH-180EC,DUCTED VERTICAL,R22,26490,15582,Temp Control,,,
VAH-180EC,DUCTED VERTICAL,R134,27967,16451,Temp Control,,,
VAH-180EC,DUCTED VERTICAL,R404,27133,15961,Temp Control,,,
VAH-180EC,DUCTED VERTICAL,R448,26490,15582,Temp Control,,,
WM-15,WALL MOUNT,R22,2534,1491,Temp Control,,,
WM-15,WALL MOUNT,R134,2572,1513,Temp Control,,,
WM-15,WALL MOUNT,R404,2633,1549,Temp Control,,,
WM-15,WALL MOUNT,R448,2789,1641,Temp Control,,,
WM-25,WALL MOUNT,R22,3543,2084,Temp Control,,,
WM-25,WALL MOUNT,R134,3228,1899,Temp Control,,,
WM-25,WALL MOUNT,R404,3478,2046,Temp Control,,,
WM-25,WALL MOUNT,R448,3523,2072,Temp Control,,,
WM-35,WALL MOUNT,R22,4996,2939,Temp Control,,,
WM-35,WALL MOUNT,R134,4550,2676,Temp Control,,,
WM-35,WALL MOUNT,R404,4723,2778,Temp Control,,,
WM-35,WALL MOUNT,R448,4823,2837,Temp Control,,,
WM-50,WALL MOUNT,R22,6629,3899,Temp Control,,,
WM-50,WALL MOUNT,R134,6500,3824,Temp Control,,,
WM-50,WALL MOUNT,R404,6603,3884,Temp Control,,,
WM-50,WALL MOUNT,R448,6503,3825,Temp Control,,,
VRM-25EC,RACK MOUNT VERT,R22,2564,1508,Temp Control,,,
VRM-25EC,RACK MOUNT VERT,R134,2572,1513,Temp Control,,,
VRM-25EC,RACK MOUNT VERT,R404,2604,1532,Temp Control,,,
VRM-25EC,RACK MOUNT VERT,R448,2789,1641,Temp Control,,,
VRM-35EC,RACK MOUNT VERT,R22,3543,2084,Temp Control,,,
VRM-35EC,RACK MOUNT VERT,R134,3228,1899,Temp Control,,,
VRM-35EC,RACK MOUNT VERT,R404,3492,2054,Temp Control,,,
VRM-35EC,RACK MOUNT VERT,R448,3523,2072,Temp Control,,,
VRM-50EC,RACK MOUNT VERT,R22,4996,2939,Temp Control,,,
VRM-50EC,RACK MOUNT VERT,R134,4550,2676,Temp Control,,,
VRM-50EC,RACK MOUNT VERT,R404,4815,2832,Temp Control,,,
VRM-50EC,RACK MOUNT VERT,R448,4823,2837,Temp Control,,,
VRM-65EC,RACK MOUNT VERT,R22,6629,3899,Temp Control,,,
VRM-65EC,RACK MOUNT VERT,R134,6500,3824,Temp Control,,,
VRM-65EC,RACK MOUNT VERT,R404,6597,3881,Temp Control,,,
VRM-65EC,RACK MOUNT VERT,R448,6503,3825,Temp Control,,,
CE1-28,CEILING MOUNT,R22,2877,1692,Temp Control,,,
CE1-28,CEILING MOUNT,R134,2868,1687,Temp Control,,,
CE2-89,CEILING MOUNT,R22,8969,5276,Temp Control,,,
CE2-89,CEILING MOUNT,R134,8956,5268,Temp Control,,,
CE3-129,CEILING MOUNT,R22,12928,7605,Temp Control,,,
CE3-129,CEILING MOUNT,R134,12904,7591,Temp Control,,,
DQ-207,CEILING MOUNT,R22,3233,1902,Temp Control,,,
DQ-207,CEILING MOUNT,R134,3246,1909,Temp Control,,,
DQ-207,CEILING MOUNT,R404,3248,1911,Temp Control,,,
DQ-207,CEILING MOUNT,R448,3233,1902,Temp Control,,,
DQ-275,CEILING MOUNT,R22,4763,2802,Temp Control,,,
DQ-275,CEILING MOUNT,R134,4782,2813,Temp Control,,,
DQ-275,CEILING MOUNT,R404,4817,2834,Temp Control,,,
DQ-275,CEILING MOUNT,R448,4763,2802,Temp Control,,,
DQ-345,CEILING MOUNT,R22,5386,3168,Temp Control,,,
DQ-345,CEILING MOUNT,R134,5297,3116,Temp Control,,,
DQ-345,CEILING MOUNT,R404,5387,3169,Temp Control,,,
DQ-345,CEILING MOUNT,R448,5386,3168,Temp Control,,,
DQ-432,CEILING MOUNT,R22,5817,3422,Temp Control,,,
DQ-432,CEILING MOUNT,R134,5788,3405,Temp Control,,,
DQ-432,CEILING MOUNT,R404,5843,3437,Temp Control,,,
DQ-432,CEILING MOUNT,R448,5817,3422,Temp Control,,,
DQ-541,CEILING MOUNT,R22,6433,3784,Temp Control,,,
DQ-541,CEILING MOUNT,R134,6405,3768,Temp Control,,,
DQ-541,CEILING MOUNT,R404,6537,3845,Temp Control,,,
DQ-541,CEILING MOUNT,R448,6433,3784,Temp Control,,,
DQ-650,CEILING MOUNT,R22,6767,3981,Temp Control,,,
DQ-650,CEILING MOUNT,R134,6734,3961,Temp Control,,,
DQ-650,CEILING MOUNT,R404,6746,3968,Temp Control,,,
DQ-650,CEILING MOUNT,R448,6767,3981,Temp Control,,,
LPA17-10-115Q,CEILING MOUNT,R22,1463,861,Temp Control,,,
LPA17-10-115Q,CEILING MOUNT,R134,1493,878,Temp Control,,,
LPA17-10-115Q,CEILING MOUNT,R404,1476,868,Temp Control,,,
LPA17-10-115Q,CEILING MOUNT,R448,1463,861,Temp Control,,,
LPA17-13-115Q,CEILING MOUNT,R22,1834,1079,Temp Control,,,
LPA17-13-115Q,CEILING MOUNT,R134,1837,1081,Temp Control,,,
LPA17-13-115Q,CEILING MOUNT,R404,1809,1064,Temp Control,,,
LPA17-13-115Q,CEILING MOUNT,R448,1834,1079,Temp Control,,,
LPA27-18-115Q,CEILING MOUNT,R22,2228,1311,Temp Control,,,
LPA27-18-115Q,CEILING MOUNT,R134,2309,1358,Temp Control,,,
LPA27-18-115Q,CEILING MOUNT,R404,2280,1341,Temp Control,,,
LPA27-18-115Q,CEILING MOUNT,R448,2228,1311,Temp Control,,,
LPA27-23-115Q,CEILING MOUNT,R22,2983,1755,Temp Control,,,
LPA27-23-115Q,CEILING MOUNT,R134,2924,1720,Temp Control,,,
LPA27-23-115Q,CEILING MOUNT,R404,2963,1743,Temp Control,,,
LPA27-23-115Q,CEILING MOUNT,R448,2983,1755,Temp Control,,,
LPA37-32-115Q,CEILING MOUNT,R22,4759,2799,Temp Control,,,
LPA37-32-115Q,CEILING MOUNT,R134,4812,2831,Temp Control,,,
LPA37-32-115Q,CEILING MOUNT,R404,4793,2819,Temp Control,,,
LPA37-32-115Q,CEILING MOUNT,R448,4759,2799,Temp Control,,,
LPA47-42-115Q,CEILING MOUNT,R22,5805,3415,Temp Control,,,
LPA47-42-115Q,CEILING MOUNT,R134,5801,3412,Temp Control,,,
LPA47-42-115Q,CEILING MOUNT,R404,5780,3400,Temp Control,,,
LPA47-42-115Q,CEILING MOUNT,R448,5805,3415,Temp Control,,,
LPA57-55-115Q,CEILING MOUNT,R22,7577,4457,Temp Control,,,
LPA57-55-115Q,CEILING MOUNT,R134,7572,4454,Temp Control,,,
LPA57-55-115Q,CEILING MOUNT,R404,7533,4431,Temp Control,,,
LPA57-55-115Q,CEILING MOUNT,R448,7577,4457,Temp Control,,,
SLA18-54-Q,CEILING MOUNT,R22,4068,2393,Temp Control,,,
SLA18-54-Q,CEILING MOUNT,R134,3930,2312,Temp Control,,,
SLA18-54-Q,CEILING MOUNT,R404,4044,2379,Temp Control,,,
SLA18-54-Q,CEILING MOUNT,R448,4068,2393,Temp Control,,,
SLA28-108-Q,CEILING MOUNT,R22,8168,4805,Temp Control,,,
SLA28-108-Q,CEILING MOUNT,R134,7978,4693,Temp Control,,,
SLA28-108-Q,CEILING MOUNT,R404,8132,4784,Temp Control,,,
SLA28-108-Q,CEILING MOUNT,R448,8168,4805,Temp Control,,,
SLA38-163-Q,CEILING MOUNT,R22,12269,7217,Temp Control,,,
SLA38-163-Q,CEILING MOUNT,R134,11980,7047,Temp Control,,,
SLA38-163-Q,CEILING MOUNT,R404,12119,7129,Temp Control,,,
SLA38-163-Q,CEILING MOUNT,R448,12269,7217,Temp Control,,,
SLA48-217-Q,CEILING MOUNT,R22,17215,10126,Temp Control,,,
SLA48-217-Q,CEILING MOUNT,R134,16920,9953,Temp Control,,,
SLA48-217-Q,CEILING MOUNT,R404,17189,10111,Temp Control,,,
SLA48-217-Q,CEILING MOUNT,R448,17215,10126,Temp Control,,,
SLA58-270-Q,CEILING MOUNT,R22,21166,12451,Temp Control,,,
SLA58-270-Q,CEILING MOUNT,R134,20800,12235,Temp Control,,,
SLA58-270-Q,CEILING MOUNT,R404,20998,12352,Temp Control,,,
SLA58-270-Q,CEILING MOUNT,R448,21166,12451,Temp Control,,,
SLA68-322-Q,CEILING MOUNT,R22,24567,14451,Temp Control,,,
SLA68-322-Q,CEILING MOUNT,R134,24190,14229,Temp Control,,,
SLA68-322-Q,CEILING MOUNT,R404,24355,14326,Temp Control,,,
SLA68-322-Q,CEILING MOUNT,R448,24567,14451,Temp Control,,,
SPLA26-62,CEILING MOUNT,R22,7860,4624,Temp Control,,,
SPLA26-62,CEILING MOUNT,R134,7690,4524,Temp Control,,,
SPLA26-62,CEILING MOUNT,R404,7890,4641,Temp Control,,,
SPLA26-62,CEILING MOUNT,R448,7860,4624,Temp Control,,,
SLPA36-95,CEILING MOUNT,R22,10486,6168,Temp Control,,,
SLPA36-95,CEILING MOUNT,R134,9937,5845,Temp Control,,,
SLPA36-95,CEILING MOUNT,R404,10433,6137,Temp Control,,,
SLPA36-95,CEILING MOUNT,R448,10486,6168,Temp Control,,,
SLPA46-128,CEILING MOUNT,R22,15773,9278,Temp Control,,,
SLPA46-128,CEILING MOUNT,R134,15110,8888,Temp Control,,,
SLPA46-128,CEILING MOUNT,R404,15730,9253,Temp Control,,,
SLPA46-128,CEILING MOUNT,R448,15773,9278,Temp Control,,,
SLPA56-162,CEILING MOUNT,R22,19754,11620,Temp Control,,,
SLPA56-162,CEILING MOUNT,R134,19010,11182,Temp Control,,,
SLPA56-162,CEILING MOUNT,R404,19704,11591,Temp Control,,,
SLPA56-162,CEILING MOUNT,R448,19754,11620,Temp Control,,,
SLPA66-200,CEILING MOUNT,R22,22906,13474,Temp Control,,,
SLPA66-200,CEILING MOUNT,R134,22110,13006,Temp Control,,,
SLPA66-200,CEILING MOUNT,R404,22873,13455,Temp Control,,,
SLPA66-200,CEILING MOUNT,R448,22906,13474,Temp Control,,,
CTIH-15,CEILING MOUNT,R22,1587,934,Temp Control,,,
CTIH-15,CEILING MOUNT,R134,1537,904,Temp Control,,,
CTIH-15,CEILING MOUNT,R404,1543,908,Temp Control,,,
CTIH-15,CEILING MOUNT,R448,1587,934,Temp Control,,,
CTIH-25,CEILING MOUNT,R22,2583,1519,Temp Control,,,
CTIH-25,CEILING MOUNT,R134,2507,1475,Temp Control,,,
CTIH-25,CEILING MOUNT,R404,2517,1481,Temp Control,,,
CTIH-25,CEILING MOUNT,R448,2583,1519,Temp Control,,,
CTIH-35,CEILING MOUNT,R22,3577,2104,Temp Control,,,
CTIH-35,CEILING MOUNT,R134,3538,2081,Temp Control,,,
CTIH-35,CEILING MOUNT,R404,3546,2086,Temp Control,,,
CTIH-35,CEILING MOUNT,R448,3577,2104,Temp Control,,,
CTIH-50,CEILING MOUNT,R22,5107,3004,Temp Control,,,
CTIH-50,CEILING MOUNT,R134,5039,2964,Temp Control,,,
CTIH-50,CEILING MOUNT,R404,5074,2985,Temp Control,,,
CTIH-50,CEILING MOUNT,R448,5107,3004,Temp Control,,,
Q-500W,CEILING MOUNT,R22,7572,4454,Temp Control,,,
Q-500W,CEILING MOUNT,R134,7507,4416,Temp Control,,,
Q-500W,CEILING MOUNT,R404,7598,4469,Temp Control,,,
Q-500W,CEILING MOUNT,R448,7572,4454,Temp Control,,,
Q-750W,CEILING MOUNT,R22,11343,6672,Temp Control,,,
Q-750W,CEILING MOUNT,R134,11418,6716,Temp Control,,,
Q-750W,CEILING MOUNT,R404,11377,6692,Temp Control,,,
Q-750W,CEILING MOUNT,R448,11343,6672,Temp Control,,,
Q-1000W,CEILING MOUNT,R22,17275,10162,Temp Control,,,
Q-1000W,CEILING MOUNT,R134,16886,9933,Temp Control,,,
Q-1000W,CEILING MOUNT,R404,16960,9976,Temp Control,,,
Q-1000W,CEILING MOUNT,R448,17275,10162,Temp Control,,,
Q-1350W,CEILING MOUNT,R22,17776,10456,Temp Control,,,
Q-1350W,CEILING MOUNT,R134,17761,10448,Temp Control,,,
Q-1350W,CEILING MOUNT,R404,17766,10451,Temp Control,,,
Q-1350W,CEILING MOUNT,R448,17776,10456,Temp Control,,,
Q-1640W,CEILING MOUNT,R22,25053,14737,Temp Control,,,
Q-1640W,CEILING MOUNT,R134,24572,14454,Temp Control,,,
Q-1640W,CEILING MOUNT,R404,24520,14424,Temp Control,,,
Q-1640W,CEILING MOUNT,R448,25053,14737,Temp Control,,,
Q-2000W,CEILING MOUNT,R22,30605,18003,Temp Control,,,
Q-2000W,CEILING MOUNT,R134,29736,17492,Temp Control,,,
Q-2000W,CEILING MOUNT,R404,29739,17494,Temp Control,,,
Q-2000W,CEILING MOUNT,R448,30605,18003,Temp Control,,,
Q-2600W,CEILING MOUNT,R22,37030,21782,Temp Control,,,
Q-2600W,CEILING MOUNT,R134,35960,21153,Temp Control,,,
Q-2600W,CEILING MOUNT,R404,35972,21160,Temp Control,,,
Q-2600W,CEILING MOUNT,R448,37030,21782,Temp Control,,,
CTE-25EC,CEILING MOUNT EXTERNAL,R22,2577,1516,Temp Control,,,
CTE-25EC,CEILING MOUNT EXTERNAL,R134,2513,1478,Temp Control,,,
CTE-25EC,CEILING MOUNT EXTERNAL,R404,2543,1496,Temp Control,,,
CTE-25EC,CEILING MOUNT EXTERNAL,R448,2577,1516,Temp Control,,,
CTE-35EC,CEILING MOUNT EXTERNAL,R22,3563,2096,Temp Control,,,
CTE-35EC,CEILING MOUNT EXTERNAL,R134,3522,2072,Temp Control,,,
CTE-35EC,CEILING MOUNT EXTERNAL,R404,3547,2086,Temp Control,,,
CTE-35EC,CEILING MOUNT EXTERNAL,R448,3563,2096,Temp Control,,,
CTE-50EC,CEILING MOUNT EXTERNAL,R22,5091,2995,Temp Control,,,
CTE-50EC,CEILING MOUNT EXTERNAL,R134,5032,2960,Temp Control,,,
CTE-50EC,CEILING MOUNT EXTERNAL,R404,5076,2986,Temp Control,,,
CTE-50EC,CEILING MOUNT EXTERNAL,R448,5091,2995,Temp Control,,,
DHB04NCRP1AAAM,DUCTED HORIZ,Any ,"4,557",3038,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
DHB06NCRP1AAAM,DUCTED HORIZ,Any ,"6,571",4381,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
DHB08NCRP1AAAM,DUCTED HORIZ,Any ,"8,451",5634,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
DHB10NCRP1AAAM,DUCTED HORIZ,Any ,"10,783",7189,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
DVB04NARP1AAAM,DUCTED VERTICAL,Any ,"4,072",2715,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
DVB06NARP1AAAM,DUCTED VERTICAL,Any ,"6,495",4330,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
DVB08NARP1AAAM,DUCTED VERTICAL,Any ,"8,333",5555,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
DVB10NARP1AAAM,DUCTED VERTICAL,Any ,"10,704",7136,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
BTOK09,CEILING MOUNT,Any ,1350,900,TXV,Solenoid valve and coil,Temp Control,
BTOK13,CEILING MOUNT,Any ,1950,1300,TXV,Solenoid valve and coil,Temp Control,
BTOK18,CEILING MOUNT,Any ,2700,1800,TXV,Solenoid valve and coil,Temp Control,
BTOK25,CEILING MOUNT,Any ,3750,2500,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
BTOK35,CEILING MOUNT,Any ,5250,3500,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
BTOK45,CEILING MOUNT,Any ,6750,4500,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
BTOK55,CEILING MOUNT,Any ,8250,5500,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
CK13,CEILING MOUNT,Any ,1950,1300,TXV,Solenoid valve and coil,Temp Control,
CK17,CEILING MOUNT,Any ,2550,1700,TXV,Solenoid valve and coil,Temp Control,
CK23,CEILING MOUNT,Any ,3450,2300,TXV,Solenoid valve and coil,Temp Control,
CK30,CEILING MOUNT,Any ,4500,3000,TXV,Solenoid valve and coil,Temp Control,
CK43,CEILING MOUNT,Any ,6450,4300,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
TAK10,CEILING MOUNT,Any ,1500,1000,TXV,Solenoid valve and coil,Temp Control,
TAK13,CEILING MOUNT,Any ,1950,1300,TXV,Solenoid valve and coil,Temp Control,
TAK17,CEILING MOUNT,Any ,2550,1700,TXV,Solenoid valve and coil,Temp Control,
TAK23,CEILING MOUNT,Any ,3450,2300,TXV,Solenoid valve and coil,Temp Control,
TAK30,CEILING MOUNT,Any ,4500,3000,TXV,Solenoid valve and coil,Temp Control,
TAK43,CEILING MOUNT,Any ,6450,4300,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
TAK55,CEILING MOUNT,Any ,8250,5500,TXV,Solenoid valve and coil,Temp Control,"TXV must be external equalized, coil has a distributor and more than one circuit"
VAK06,CEILING MOUNT,Any ,900,600,TXV,Solenoid valve and coil,Temp Control,
VAK08,CEILING MOUNT,Any ,1200,800,TXV,Solenoid valve and coil,Temp Control,
VAK12,CEILING MOUNT,Any ,1800,1200,TXV,Solenoid valve and coil,Temp Control,
VAK17,CEILING MOUNT,Any ,2550,1700,TXV,Solenoid valve and coil,Temp Control,
